"","","p"
"1",1,0.00123186223208904
"2",2,0.00123186223208904
"3",3,0.00123186223208904
"4",4,0.142960071563721
"5",5,0.00123186223208904
"6",6,0.00123186223208904
"7",7,0.00123186223208904
"8",8,0.00123186223208904
"9",9,0.00123186223208904
"10",10,0.00911393854767084
"11",11,0.00123186223208904
"12",12,0.00123186223208904
"13",13,0.00123186223208904
"14",14,0.00123186223208904
"15",15,0.00123186223208904
"16",16,0.00123186223208904
"17",17,0.00123186223208904
"18",18,0.00123186223208904
"19",19,0.00123186223208904
"20",22,0.00143754237797111
"21",23,0.00123186223208904
"22",24,0.00123186223208904
"23",25,0.00266411947086453
"24",26,0.00123186223208904
"25",29,0.00123186223208904
"26",30,0.00123186223208904
"27",31,0.00123186223208904
"28",32,0.00123186223208904
"29",33,0.00123186223208904
"30",34,0.00123186223208904
