"","","p"
"1",1,0.0737392008304596
"2",2,0.0737392008304596
"3",3,0.0976746678352356
"4",4,0.0825523734092712
"5",5,0.440513283014297
"6",6,0.0510272011160851
"7",7,0.0737392008304596
"8",8,0.0737392008304596
"9",9,0.0737392008304596
"10",10,0.0737392008304596
"11",11,0.0737392008304596
"12",12,0.0737392008304596
"13",13,0.0737392008304596
"14",14,0.0737392008304596
"15",15,0.0737392008304596
"16",16,0.0737392008304596
"17",17,0.0930193066596985
"18",18,0.033682718873024
"19",19,0.0737392008304596
"20",21,0.0737392008304596
"21",22,0.0566895827651024
"22",23,0.0925316512584686
"23",24,0.0737392008304596
"24",25,0.0737392008304596
"25",26,0.0737392008304596
"26",29,0.0224656946957111
"27",30,0.0737392008304596
"28",31,0.180589079856873
"29",32,0.0998859331011772
"30",34,0.0448635667562485
