"","variable","percent.contribution","permutation.importance"
"1","DEM_c",0.3646,11.3789
"2","ce_radann_c",1.8327,41.9363
"3","ce_radhp_c",0.0025,0
"4","ce_radlp_c",19.226,0.5806
"5","ct_frostdays_lt2deg_1_c",0.0215,0.6097
"6","ct_tempann_1_c",2.7534,4.8314
"7","ct_tempseas_1_c",2.7944,2.6815
"8","cw_precipseas_c",0.0056,0.0318
"9","dl_lat_grid_c",1.0437,3.1251
"10","dl_strmdstge2_c",22.5518,1.9242
"11","dl_strmdstge4_c",0.2643,2.4583
"12","dl_strmdstge6_c",0.9038,17.9447
"13","gp_k_fillspl_c",0.1401,0.541
"14","lf_aspect_tr_c",0.1209,0.1294
"15","lf_cti_c",0.4407,0.1117
"16","lf_rough0100_c",0.0065,0.1475
"17","lf_tpi0120_c",0,0
"18","sfc_aut_b_95_c",0.1186,0.6898
"19","soil_c",25.7637,7.2055
"20","vegitation_pct_b_c",21.6455,3.6724
