"","","p"
"1",1,0.0300136469304562
"2",2,0.0300136469304562
"3",3,0.0300136469304562
"4",4,0.107308469712734
"5",5,0.0300136469304562
"6",6,0.0300136469304562
"7",7,0.0300136469304562
"8",8,0.0300136469304562
"9",9,0.0418234094977379
"10",10,0.0300136469304562
"11",11,0.0262867566198111
"12",12,0.0300136469304562
"13",13,0.0389413610100746
"14",14,0.0300136469304562
"15",15,0.00596404820680618
"16",16,0.0300136469304562
"17",17,0.0300136469304562
"18",18,0.0300136469304562
"19",19,0.0300136469304562
"20",21,0.0300136469304562
"21",22,0.0300136469304562
"22",23,0.0300136469304562
"23",25,0.0297482628375292
"24",26,0.0300136469304562
"25",29,0.0389427319169044
"26",30,0.0300136469304562
"27",31,0.0300136469304562
"28",32,0.0300136469304562
"29",33,0.0300136469304562
"30",34,0.0300136469304562
