"","","p"
"1",0,0.0297482628375292
"2",724,0.0696719139814377
"3",725,0.0535062775015831
"4",781,0.0535062775015831
"5",830,0.0535062775015831
"6",835,0.0535062775015831
"7",849,0.0535062775015831
"8",850,0.056417390704155
"9",877,0.0535062775015831
"10",883,0.0535062775015831
"11",905,0.0535062775015831
"12",920,0.0535062775015831
"13",941,0.100485503673553
"14",958,0.0535062775015831
"15",1067,0.0535062775015831
"16",1081,0.0535062775015831
"17",1083,0.0535062775015831
"18",1086,0.185937508940697
"19",1105,0.0535062775015831
"20",1181,0.0618975684046745
"21",1234,0.0535062775015831
"22",1236,0.0535062775015831
"23",1237,0.0535062775015831
"24",1250,0.0535062775015831
"25",1253,0.0662062540650368
"26",1281,0.122836612164974
"27",1292,0.0419673025608063
"28",1395,0.0535062775015831
"29",1637,0.0535062775015831
"30",1776,0.0535062775015831
"31",1778,0.0535062775015831
"32",1787,0.0535062775015831
"33",1789,0.0535062775015831
"34",1790,0.0535062775015831
"35",1800,0.0535062775015831
"36",1816,0.0535062775015831
"37",1826,0.0535062775015831
"38",1828,0.0535062775015831
"39",1841,0.0535062775015831
"40",1845,0.0535062775015831
