"","variable","percent.contribution","permutation.importance"
"1","DEM_c_v0",0.3025,0.0918
"2","ce_radann_c_v0",0.0778,2.2184
"3","ce_radhp_c_v0",6.6127,12.1664
"4","ce_radlp_c_v0",8.099,8.6675
"5","ct_frostdays_lt2deg_1_c_v0",0.4491,0.0551
"6","ct_tempann_1_c_v0",2.3998,0.5501
"7","ct_tempseas_1_c_v0",8.3334,3.3129
"8","cw_precipseas_c_v0",18.1975,3.5134
"9","dl_lat_grid_c_v0",13.7059,37.8927
"10","dl_strmdstge2_c_v0",2.3444,1.9079
"11","dl_strmdstge4_c_v0",1.7524,1.9364
"12","dl_strmdstge6_c_v0",1.571,2.3329
"13","gp_k_fillspl_c_v0",1.3188,0.4521
"14","lf_aspect_tr_c_v0",0.9418,1.1824
"15","lf_cti_c_v0",0.0794,0
"16","lf_rough0100_c_v0",2.5335,0.1169
"17","lf_slope_deg_c_v0",0.519,7.6571
"18","lf_tpi0120_c_v0",0.0112,0.0058
"19","sfc_aut_b_95_c_v0",6.6619,1.5717
"20","soil_c_v0",10.9566,12.6533
"21","vegitation_pct_b_c_v0",13.1325,1.7152
