"","variable","percent.contribution","permutation.importance"
"1","DEM_c_v0",27.7098,0.2264
"2","ce_radann_c_v0",0.1976,2.4023
"3","ce_radhp_c_v0",0,0
"4","ce_radlp_c_v0",0.3904,3.4579
"5","ct_frostdays_lt2deg_1_c_v0",27.3247,0.3205
"6","ct_tempann_1_c_v0",0.284,15.9134
"7","ct_tempseas_1_c_v0",0.0938,0
"8","cw_precipseas_c_v0",0,0
"9","dl_lat_grid_c_v0",0,0
"10","dl_strmdstge2_c_v0",3.1644,11.1559
"11","dl_strmdstge4_c_v0",17.5861,6.7673
"12","dl_strmdstge6_c_v0",0.4619,3.0124
"13","gp_k_fillspl_c_v0",0.0497,0
"14","lf_aspect_tr_c_v0",0.097,0.347
"15","lf_cti_c_v0",0.0719,0.7175
"16","lf_rough0100_c_v0",0.057,0.3881
"17","lf_slope_deg_c_v0",0.573,2.8463
"18","lf_tpi0120_c_v0",0,0
"19","sfc_aut_b_95_c_v0",0,0
"20","soil_c_v0",13.7296,35.1789
"21","vegitation_pct_b_c_v0",8.2091,17.266
