"","variable","percent.contribution","permutation.importance"
"1","DEM_c_v0",1.151,0.3763
"2","ce_radann_c_v0",0.3719,10.7869
"3","ce_radhp_c_v0",1.0745,0.0013
"4","ce_radlp_c_v0",16.4982,0.9438
"5","ct_frostdays_lt2deg_1_c_v0",0.0536,1.3705
"6","ct_tempann_1_c_v0",1.3321,15.0052
"7","ct_tempseas_1_c_v0",1.7355,4.4746
"8","cw_precipseas_c_v0",0.5386,0
"9","dl_lat_grid_c_v0",0.5947,4.4902
"10","dl_strmdstge2_c_v0",49.0865,3.189
"11","dl_strmdstge4_c_v0",1.0571,2.3041
"12","dl_strmdstge6_c_v0",1.3186,45.3288
"13","gp_k_fillspl_c_v0",0.0152,0.7579
"14","lf_aspect_tr_c_v0",0.7907,0.0879
"15","lf_cti_c_v0",0.6714,0.0629
"16","lf_rough0100_c_v0",0.0093,0.0513
"17","lf_slope_deg_c_v0",0.4476,0.2162
"18","lf_tpi0120_c_v0",0,0
"19","sfc_aut_b_95_c_v0",0.4089,1.1452
"20","soil_c_v0",15.5557,5.9132
"21","vegitation_pct_b_c_v0",7.2887,3.4945
