"","","p"
"1",0,0.00266411947086453
"2",724,0.0151081560179591
"3",725,0.0806853473186493
"4",781,0.0151081560179591
"5",830,0.0151081560179591
"6",835,0.0606553703546524
"7",849,0.0151081560179591
"8",850,0.0151081560179591
"9",877,0.0151081560179591
"10",883,0.0608209110796452
"11",920,0.0151081560179591
"12",941,0.501385092735291
"13",958,0.0151081560179591
"14",1067,0.0151081560179591
"15",1081,0.020126910880208
"16",1083,0.0151081560179591
"17",1086,0.0151081560179591
"18",1181,0.0171163510531187
"19",1232,0.0151081560179591
"20",1234,0.0151081560179591
"21",1237,0.0151081560179591
"22",1250,0.0151081560179591
"23",1253,0.0151081560179591
"24",1281,0.0151081560179591
"25",1292,0.0151081560179591
"26",1395,0.0398763306438923
"27",1637,0.0151081560179591
"28",1776,0.0151081560179591
"29",1782,0.0151081560179591
"30",1787,0.0151081560179591
"31",1789,0.0151081560179591
"32",1790,0.0151081560179591
"33",1800,0.0151081560179591
"34",1808,0.0151081560179591
"35",1828,0.0151081560179591
"36",1841,0.0151081560179591
"37",1845,0.0151081560179591
"38",1900,0.0151081560179591
