"","","p"
"1",1,0.0309614017605782
"2",2,0.00789545848965645
"3",3,0.00789545848965645
"4",4,0.0375735238194466
"5",5,0.00789545848965645
"6",6,0.00789545848965645
"7",7,0.00789545848965645
"8",8,0.00789545848965645
"9",9,0.0069231353700161
"10",10,0.00789545848965645
"11",11,0.00789545848965645
"12",12,0.00789545848965645
"13",13,0.00789545848965645
"14",14,0.00789545848965645
"15",15,0.00789545848965645
"16",16,0.00789545848965645
"17",17,0.00862675998359919
"18",18,0.00789545848965645
"19",19,0.00789545848965645
"20",20,0.00789545848965645
"21",21,0.00789545848965645
"22",22,0.00579219497740269
"23",23,0.00789545848965645
"24",25,0.00690754083916545
"25",26,0.00789545848965645
"26",27,0.00789545848965645
"27",29,0.00789545848965645
"28",30,0.00789545848965645
"29",31,0.00789545848965645
"30",32,0.00789545848965645
"31",33,0.00789545848965645
"32",34,0.0303456895053387
