"","variable","percent.contribution","permutation.importance"
"1","DEM_c",0.3113,0.0333
"2","ce_radann_c",0.213,2.6072
"3","ce_radhp_c",2.6383,7.3249
"4","ce_radlp_c",0.9201,0.9671
"5","ct_frostdays_lt2deg_1_c",0.1369,0.3048
"6","ct_tempann_1_c",5.271,3.7367
"7","ct_tempseas_1_c",5.8611,0.5818
"8","cw_precipseas_c",9.3011,0.3087
"9","dl_lat_grid_c",15.3092,44.7963
"10","dl_strmdstge2_c",0.7081,0.8564
"11","dl_strmdstge4_c",0.6981,1.5697
"12","dl_strmdstge6_c",0.6009,7.6312
"13","gp_k_fillspl_c",0.3086,0.3334
"14","lf_aspect_tr_c",0.5174,0.4882
"15","lf_cti_c",0.0426,0.024
"16","lf_rough0100_c",0.692,1.5426
"17","lf_tpi0120_c",0.048,0.065
"18","sfc_aut_b_95_c",5.5553,1.2154
"19","soil_c",9.9161,10.7656
"20","vegitation_pct_b_c",40.951,14.8478
