"","variable","percent.contribution","permutation.importance"
"1","DEM_c",46.8447,25.5624
"2","ce_radann_c",2.601,1.8308
"3","ce_radhp_c",2.2305,0.0705
"4","ce_radlp_c",1.5391,3.7612
"5","ct_frostdays_lt2deg_1_c",16.8894,8.3085
"6","ct_tempann_1_c",0.4736,21.9663
"7","ct_tempseas_1_c",0.2654,0.436
"8","cw_precipseas_c",2.2219,0.0847
"9","dl_lat_grid_c",2.9748,10.6532
"10","dl_strmdstge2_c",1.7441,3.1678
"11","dl_strmdstge4_c",5.3381,5.0995
"12","dl_strmdstge6_c",2.4173,2.9316
"13","gp_k_fillspl_c",0.2218,1.2057
"14","lf_aspect_tr_c",2.5389,2.3237
"15","lf_cti_c",0.1995,0.776
"16","lf_rough0100_c",0.1279,2.2376
"17","lf_tpi0120_c",0.1137,0.567
"18","sfc_aut_b_95_c",1.3572,2.9136
"19","soil_c",8.1654,3.61
"20","vegitation_pct_b_c",1.7356,2.4937
