"","variable","percent.contribution","permutation.importance"
"1","DEM_c",6.266,1.021
"2","ce_radann_c",2.231,31.0867
"3","ce_radhp_c",2.5639,2.6721
"4","ce_radlp_c",7.8559,19.2504
"5","ct_frostdays_lt2deg_1_c",5.0974,26.5575
"6","ct_tempann_1_c",4.5921,0.0226
"7","ct_tempseas_1_c",3.0361,0.8582
"8","cw_precipseas_c",37.7763,0.8462
"9","dl_lat_grid_c",16.0606,2.0308
"10","dl_strmdstge2_c",0.0992,0.1715
"11","dl_strmdstge4_c",0.3972,0.8634
"12","dl_strmdstge6_c",1.7673,10.2719
"13","gp_k_fillspl_c",0.5859,0.1193
"14","lf_aspect_tr_c",0.1958,0.3418
"15","lf_cti_c",0.1797,0.2702
"16","lf_rough0100_c",0.0615,0.2301
"17","lf_tpi0120_c",0.0643,0.1562
"18","sfc_aut_b_95_c",0.3783,0.9489
"19","soil_c",3.1235,1.1083
"20","vegitation_pct_b_c",7.6682,1.1729
