"","","p"
"1",0,0.0153109645470977
"2",724,0.0248297210782766
"3",725,0.0153109645470977
"4",774,0.0153109645470977
"5",781,0.0744427293539047
"6",830,0.0153109645470977
"7",835,0.0278435405343771
"8",849,0.0117896534502506
"9",850,0.05611677095294
"10",877,0.0153109645470977
"11",882,0.0153109645470977
"12",883,0.0153109645470977
"13",905,0.0153109645470977
"14",920,0.0153109645470977
"15",941,0.055857215076685
"16",958,0.0153109645470977
"17",1067,0.0153109645470977
"18",1081,0.0153109645470977
"19",1083,0.0153109645470977
"20",1086,0.0153109645470977
"21",1105,0.0153109645470977
"22",1126,0.0742427930235863
"23",1181,0.0153109645470977
"24",1234,0.0153109645470977
"25",1236,0.0153109645470977
"26",1237,0.0153109645470977
"27",1250,0.0153109645470977
"28",1253,0.0153109645470977
"29",1281,0.0153109645470977
"30",1284,0.0153109645470977
"31",1292,0.0153109645470977
"32",1319,0.0153109645470977
"33",1395,0.0370777025818825
"34",1637,0.0153109645470977
"35",1642,0.0153109645470977
"36",1776,0.0507811829447746
"37",1778,0.0153109645470977
"38",1782,0.0153109645470977
"39",1783,0.0153109645470977
"40",1787,0.0153109645470977
"41",1789,0.0153109645470977
"42",1790,0.0153109645470977
"43",1800,0.0153109645470977
"44",1808,0.106347486376762
"45",1826,0.0153109645470977
"46",1828,0.0153109645470977
"47",1841,0.0503133870661259
"48",1845,0.0153109645470977
"49",1900,0.0153109645470977
